NMJCounting,Muscle,Fenotype,Genotype,Maturity,Bounds0Red,Bounds1Red,Bounds2Red,CCDistRed,CCSize0Red,CCSize1Red,CCSize2Red,CCRed,FragmentationRed,Compactness0Red,Compactness1Red,MeanIntensityRed,ShapeFactor0Red,ShapeFactor1Red,ShapeFactor2Red,SkeletonLengthRed,SurfaceVolumeRatio0Red,SurfaceVolumeRatio1Red,Surface0Red,Surface1Red,Surface2Red,Surface3Red,SurfaceDil0Red,SurfaceDil1Red,Volume0Red,Volume1Red,Bounds0Gr,Bounds1Gr,Bounds2Gr,CCDistGr,CCSize0Gr,CCSize1Gr,CCSize2Gr,CCGr,Compactness0Gr,Compactness1Gr,FragmentationGr,ShapeFactor0Gr,ShapeFactor1Gr,ShapeFactor2Gr,SkeletonLengthGr,SurfaceVolumeRatio0Gr,SurfaceVolumeRatio1Gr,Surface0Gr,Surface1Gr,Surface2Gr,Surface3Gr,SurfaceDil0Gr,SurfaceDil1Gr,Volume0Gr,Volume1Gr,IoUGr,ComDist,Coverage,HausDist,NIntersection,NUnion
Degenerating,1,1,3,1,28,55,9,0,3170,3170,3170,1,0,76.654,42.184,0.634,2.265,1.209,0.492,324,1.228,0.825,2120,3972,2604,3978,3894,2615,3170,801.059,8,7,2,4.461,2,4,3,2,93.457,2.449,0.5,12.245,3.674,2.661,8,11.333,1,6,20,26,32,68,6,6,1.516,0.003,2.808,0.189249481,31.032,6,1806
Degenerating,0,1,2,1,19,30,6,6.828,3,845,296.667,3,0.667,49.776,22.527,0.54,3.397,-1.822,0.738,96,1.407,0.829,738,426.421,1252,3265.477,1252,738,890,224.903,12,21,4,4.755,1,226,113.5,2,85.286,15.067,0.5,3.798,-1.394,0.825,114,3.176,1,227,245.944,721,1880.141,721,227,227,57.363,0.504,0.868,25.50566244,0,227,450
Degenerating,0,1,2,1,17,30,6,0,689,689,689,1,0,41.829,19.337,0.656,3.99,-1.986,0.867,40,1.364,0.816,562,374.894,940,2289.489,940,562,689,177.995,15,27,4,0,404,404,404,1,52.168,19.211,0,3.824,-1.757,0.831,44,1.889,0.97,392,307.527,763,1855.158,763,392,404,104.368,0.884,0.678,58.63535493,0,404,457
Degenerating,0,1,2,1,64,47,5,0,3593,3593,3593,1,0,63.504,40.466,0.63,2.239,-1.429,0.487,228,1.039,0.77,2765,1236.52,3734,9774.299,3734,2765,3593,907.951,61,43,3,9.549,1,354,79.556,9,192.147,26.758,0.889,2.487,-0.876,0.541,352,3.722,1,716,735.756,2665,7122.796,2665,716,716,180.933,0.332,0.649,19.92761724,0,716,2159
Degenerating,1,1,3,1,58,45,4,11.924,7,2010,1008.5,2,0.5,163.229,43.317,0.631,1.887,0.87,0.001,556,2.364,0.976,1882,4082,3315,4106,4768,1969,2017,509.696,43,29,3,8.576,1,68,17.5,6,125.534,10.247,0.833333333,4.717,1.519,0.01,64,5.314,1,105,326,306,344,558,105,105,26.533,0.087,7.396,5.205651996,29.547,105,1207
Degenerating,0,1,2,1,26,44,9,9.803,3,2312,584.25,4,0.75,56.991,27.257,0.649,3.01,-1.631,0.654,162,1.116,0.682,1595,940.158,2608,6750.312,2608,1595,2337,590.56,24,41,7,9.232,1,410,116.833,6,83.372,26.024,0.833,2.783,-1.387,0.605,120,2.148,0.989,693,467.924,1506,3972.968,1506,693,701,177.143,0.517,0.322,29.99576673,0,701,1357
Degenerating,0,1,2,1,12,26,3,0,459,459,459,1,0,52.379,19.021,0.398,3.772,-1.834,0.82,54,1.815,0.924,424,281.086,833,2175.264,833,424,459,115.989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
Degenerating,0,1,2,1,31,49,5,0,2084,2084,2084,1,0,52.24,30.279,0.628,2.808,-1.629,0.61,136,1.094,0.761,1585,809.81,2280,5652.736,2280,1585,2084,538.375,29,47,4,0,942,942,942,1,80.732,28.997,0,2.62,-1.346,0.57,126,1.906,0.963,907,578.012,1795,4509.826,1795,907,942,243.354,0.756,0.472,45.20157883,0,942,1246
Degenerating,0,1,2,1,43,28,9,0,1632,1632,1632,1,0,94.211,38.666,0.501,2.142,-1.121,0.466,300,1.759,0.971,1585,1018.81,2870,7444.246,2870,1585,1632,412.406,37,24,6,7.43,1,13,4.333,18,226.835,8.832,0.944,5.208,-1.231,1.132,76,8.705,1,78,144.309,679,1857.926,679,78,78,19.711,0.119,1.919,4.779513392,0,78,657
Degenerating,1,1,3,1,42,72,2,0,1963,1963,1963,1,0,158.623,43.799,0.65,1.848,0.861,0.001,464,2.34,0.992,1888,4050,3316,4050,4594,1948,1963,496.05,25,29,0,5.302,1,3,1.556,9,187.069,3.742,0.888888889,9.232,3.401,0.071,28,13.571,1,14,38,72,74,190,14,14,3.538,0.012,6.992,0.713234553,39.711,14,1202
