NMJCounting,Muscle,Fenotype,Genotype,Maturity,Bounds0Red,Bounds1Red,Bounds2Red,CCDistRed,CCSize0Red,CCSize1Red,CCSize2Red,CCRed,FragmentationRed,Compactness0Red,Compactness1Red,MeanIntensityRed,ShapeFactor0Red,ShapeFactor1Red,ShapeFactor2Red,SkeletonLengthRed,SurfaceVolumeRatio0Red,SurfaceVolumeRatio1Red,Surface0Red,Surface1Red,Surface2Red,Surface3Red,SurfaceDil0Red,SurfaceDil1Red,Volume0Red,Volume1Red,Bounds0Gr,Bounds1Gr,Bounds2Gr,CCDistGr,CCSize0Gr,CCSize1Gr,CCSize2Gr,CCGr,Compactness0Gr,Compactness1Gr,FragmentationGr,ShapeFactor0Gr,ShapeFactor1Gr,ShapeFactor2Gr,SkeletonLengthGr,SurfaceVolumeRatio0Gr,SurfaceVolumeRatio1Gr,Surface0Gr,Surface1Gr,Surface2Gr,Surface3Gr,SurfaceDil0Gr,SurfaceDil1Gr,Volume0Gr,Volume1Gr,IoUGr,ComDist,Coverage,HausDist,NIntersection,NUnion
Degenerating,0,1,2,1,78,52,4,0,3748,3748,3748,1,0,119.044,57.895,0.471,1.628,-0.939,0.354,586,1.558,0.963,3611,1875.323,5839,15342.72,5839,3611,3748,947.12,71,44,2,10.277,1,127,15.2,30,279.899,21.354,0.967,2.891,-0.853,0.628,278,5.559,1,456,607.27,2535,6867.938,2535,456,456,115.231,0.319,1.249,12.16646254,0,456,1430
Degenerating,1,1,3,1,49,77,2,12.813,1,3908,435.222,9,0.889,144.421,62.203,0.627,1.445,0.859,0.314,878,1.746,0.996,3827,6440,5163,6536,6840,3901,3917,989.826,42,63,1,10.646,1,32,4.182,33,310.308,11.747,0.96969697,4.306,1.27,0.936,174,8.87,1,138,468,542,618,1224,138,138,34.873,0.062,2.278,3.523144472,16.062,138,2208
Degenerating,1,1,2,0,46,41,4,0,2272,2272,2272,1,0,106.252,46.818,0.606,1.809,1.006,0,376,1.706,0.988,2126,3824,2825,3848,3877,2245,2272,684.767,36,38,4,8.791,1,486,33.812,16,109.215,22.745,0.9375,2.961,1.386,0.002,168,2.804,0.985,499,1066,887,1162,1517,533,541,163.054,0.399,3.346,23.81160307,13.038,541,1357
Degenerating,0,1,2,1,31,21,13,12.993,6,1371,688.5,2,0.5,61.479,26.893,0.574,3,-1.537,0.652,102,1.4,0.807,1111,692.77,1928,4992.516,1928,1111,1377,347.968,19,16,6,5.896,1,55,13.8,5,128.327,8.307,0.8,5.425,-1.485,1.179,58,6.203,1,69,105.974,428,1156.112,428,69,69,17.436,0.099,1.726,5.010805591,0,69,695
Degenerating,0,1,2,1,19,35,7,0,887,887,887,1,0,66.678,28.93,0.528,2.623,-1.449,0.57,134,1.711,0.981,870,496.12,1518,3980.158,1518,870,887,224.145,13,20,5,5.155,2,9,4.75,8,154.897,6.164,0.875,6.618,-1.612,1.438,32,8.579,1,38,70.247,326,891.062,326,38,38,9.603,0.089,0.904,4.284280265,0,38,426
Degenerating,0,1,2,1,40,27,8,0,1821,1821,1821,1,0,42.673,24.737,0.687,3.46,-1.873,0.752,62,1,0.695,1266,723.201,1821,4646.564,1821,1266,1821,460.167,34,21,5,8.522,2,223,112.5,2,117.807,15,0.5,3.691,-1.266,0.802,124,3.951,1,225,271.73,889,2349.753,889,225,225,56.857,0.188,0.765,12.35573172,0,225,1195
Degenerating,0,1,2,1,80,27,5,0,3443,3443,3443,1,0,75.637,44.68,0.602,2.018,-1.325,0.439,232,1.184,0.834,2871,1228.558,4078,10330.33,4078,2871,3443,889.456,73,23,3,12.624,1,116,13.944,18,232.843,15.843,0.944,3.527,-1.002,0.767,186,6,1,251,332.49,1506,3936.192,1506,251,251,64.843,0.131,3.066,7.290186361,0,251,1920
Degenerating,1,1,3,1,87,33,6,0,2102,2102,2102,1,0,95.651,43.641,0.613,1.936,1.115,0.001,314,1.633,0.968,1886,3276,2469,3294,3432,2034,2102,531.175,0,0,0,0,100000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435.369,0,1184
Degenerating,0,1,2,1,17,56,12,0,3067,3067,3067,1,0,38.936,25.274,0.674,3.449,-1.967,0.75,86,0.791,0.593,1818,1042.692,2425,5830.85,2425,1818,3067,792.321,15,53,10,11.458,3,1388,695.5,2,61.762,30.221,0.5,2.919,-1.51,0.634,120,1.4,0.869,1209,800.834,1947,4717.84,1947,1209,1391,359.347,0.69,2.198,45.35371396,0,1391,2016
Degenerating,0,1,2,1,39,29,9,0,2436,2436,2436,1,0,47.034,28.52,0.667,3.015,-1.729,0.655,112,0.968,0.694,1690,882.311,2359,5804.157,2359,1690,2436,629.31,32,23,6,7.753,1,220,27,11,127.728,17.147,0.909,3.589,-1.232,0.78,110,3.801,0.997,296,334.021,1129,2866.073,1129,296,297,76.726,0.189,2.817,12.19208339,0,297,1572
